shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_295_1,26.16881,127.82677,3000001
shapes_295_1,26.16894,127.82651,3000002
shapes_295_1,26.16904,127.82634,3000003
shapes_295_1,26.16914,127.82643,3000004
shapes_295_1,26.16928,127.82649,3000005
shapes_295_1,26.16941,127.82651,3000006
shapes_295_1,26.16976,127.82648,3000007
shapes_295_1,26.17021,127.82661,3000008
shapes_295_1,26.17029,127.82666,3000009
shapes_295_1,26.17039,127.82675,3000010
shapes_295_1,26.17046,127.82684,3000011
shapes_295_1,26.17053,127.82695,3000012
shapes_295_1,26.17068,127.82722,3000013
shapes_295_1,26.17078,127.82732,3000014
shapes_295_1,26.17085,127.82739,3000015
shapes_295_1,26.17149,127.82772,3000016
shapes_295_1,26.17162,127.8278,3000017
shapes_295_1,26.17177,127.82784,3000018
shapes_295_1,26.1719,127.82787,3000019
shapes_295_1,26.17204,127.82794,3000020
shapes_295_1,26.17223,127.8281,3000021
shapes_295_1,26.1724,127.82826,3000022
shapes_295_1,26.17263,127.82846,3000023
shapes_295_1,26.17281,127.82859,3000024
shapes_295_1,26.17297,127.8287,3000025
shapes_295_1,26.17325,127.82887,3000026
shapes_295_1,26.17359,127.82895,3000027
shapes_295_1,26.17384,127.82889,3000028
shapes_295_1,26.1743,127.82867,3000029
shapes_295_1,26.17468,127.82857,3000030
shapes_295_1,26.17503,127.82856,3000031
shapes_295_1,26.17534,127.82848,3000032
shapes_295_1,26.17537,127.82847,3000033
shapes_295_1,26.17537,127.82847,3010001
shapes_295_1,26.17574,127.82833,3010002
shapes_295_1,26.17609,127.82809,3010003
shapes_295_1,26.17661,127.8276,3010004
shapes_295_1,26.17674,127.8275,3010005
shapes_295_1,26.17728,127.8273,3010006
shapes_295_1,26.17745,127.82715,3010007
shapes_295_1,26.17759,127.82693,3010008
shapes_295_1,26.17801,127.8261,3010009
shapes_295_1,26.17814,127.82574,3010010
shapes_295_1,26.17821,127.82535,3010011
shapes_295_1,26.17824,127.82506,3010012
shapes_295_1,26.17825,127.82492,3010013
shapes_295_1,26.17828,127.82486,3010014
shapes_295_1,26.17537,127.82847,3020001
shapes_295_1,26.17574,127.82833,3020002
shapes_295_1,26.17609,127.82809,3020003
shapes_295_1,26.17661,127.8276,3020004
shapes_295_1,26.17674,127.8275,3020005
shapes_295_1,26.17728,127.8273,3020006
shapes_295_1,26.17745,127.82715,3020007
shapes_295_1,26.17759,127.82693,3020008
shapes_295_1,26.17801,127.8261,3020009
shapes_295_1,26.17814,127.82574,3020010
shapes_295_1,26.17821,127.82535,3020011
shapes_295_1,26.17824,127.82506,3020012
shapes_295_1,26.17825,127.82492,3020013
shapes_295_1,26.17828,127.82486,3020014
shapes_295_1,26.17828,127.82486,3030001
shapes_295_1,26.17832,127.82475,3030002
shapes_295_1,26.17846,127.82439,3030003
shapes_295_1,26.17852,127.82424,3030004
shapes_295_1,26.17856,127.82397,3030005
shapes_295_1,26.17859,127.82354,3030006
shapes_295_1,26.17843,127.82284,3030007
shapes_295_1,26.17826,127.8224,3030008
shapes_295_1,26.17812,127.82208,3030009
shapes_295_1,26.17798,127.82217,3030010
shapes_295_1,26.17798,127.82217,3030011
shapes_295_1,26.17807,127.82501,3040001
shapes_295_1,26.17802,127.82499,3040002
shapes_295_1,26.17794,127.82492,3040003
shapes_295_1,26.17791,127.82471,3040004
shapes_295_1,26.17792,127.82427,3040005
shapes_295_1,26.17792,127.8237,3040006
shapes_295_1,26.17792,127.82355,3040007
shapes_295_1,26.1779,127.82305,3040008
shapes_295_1,26.17767,127.82271,3040009
shapes_295_1,26.17754,127.82238,3040010
shapes_295_1,26.17776,127.82226,3040011
shapes_295_1,26.17779,127.8223,3040012
shapes_295_1,26.17794,127.8222,3040013
shapes_295_1,26.17798,127.82217,3050001
shapes_295_1,26.17798,127.82217,3050002
shapes_295_1,26.17812,127.82208,3050003
shapes_295_1,26.17801,127.8218,3050004
shapes_295_1,26.17799,127.82163,3050005
shapes_295_1,26.17802,127.82133,3050006
shapes_295_1,26.17809,127.8211,3050007
shapes_295_1,26.17819,127.82094,3050008
shapes_295_1,26.17853,127.82064,3050009
shapes_295_1,26.17962,127.81993,3050010
shapes_295_1,26.18013,127.81965,3050011
shapes_295_1,26.18035,127.81958,3050012
shapes_295_1,26.18081,127.81947,3050013
shapes_295_1,26.18093,127.81945,3050014
shapes_295_1,26.18154,127.81935,3050015
shapes_295_1,26.18188,127.81928,3050016
shapes_295_1,26.18295,127.81899,3050017
shapes_295_1,26.18342,127.81884,3050018
shapes_295_1,26.18355,127.81877,3050019
shapes_295_1,26.18371,127.81876,3050020
shapes_295_1,26.18371,127.81876,3060001
shapes_295_1,26.18374,127.81876,3060002
shapes_295_1,26.18413,127.81878,3060003
shapes_295_1,26.18478,127.8189,3060004
shapes_295_1,26.18483,127.8189,3060005
shapes_295_1,26.18529,127.81892,3060006
shapes_295_1,26.1856,127.81894,3060007
shapes_295_1,26.18614,127.81896,3060008
shapes_295_1,26.1875,127.81901,3060009
shapes_295_1,26.18763,127.81902,3060010
shapes_295_1,26.18776,127.81898,3060011
shapes_295_1,26.18795,127.81889,3060012
shapes_295_1,26.18815,127.81869,3060013
shapes_295_1,26.18842,127.8182,3060014
shapes_295_1,26.1887,127.81735,3060015
shapes_295_1,26.1887,127.81735,3070001
shapes_295_1,26.18873,127.81726,3070002
shapes_295_1,26.1888,127.81708,3070003
shapes_295_1,26.1889,127.8168,3070004
shapes_295_1,26.18927,127.81515,3070005
shapes_295_1,26.18931,127.81485,3070006
shapes_295_1,26.18942,127.81411,3070007
shapes_295_1,26.18944,127.81357,3070008
shapes_295_1,26.18935,127.81268,3070009
shapes_295_1,26.18927,127.81239,3070010
shapes_295_1,26.18907,127.81162,3070011
shapes_295_1,26.18907,127.81162,3080001
shapes_295_1,26.18906,127.8116,3080002
